ID,Year,Fall,Name,NameType,Mass,Latitude,Longitude
4935,1871-01-01T00:00:00.000,Fell,Bandong,Valid,11500,-6.91667,107.6
4936,1892-01-01T00:00:00.000,Fell,Bansur,Valid,15000,27.7,76.33333
4937,1913-01-01T00:00:00.000,Fell,Banswal,Valid,14,30.4,78.2
4938,1933-01-01T00:00:00.000,Fell,Banten,Valid,629,-6.33333,106.0
4942,1790-01-01T00:00:00.000,Fell,Barbotan,Valid,6400,43.95,-0.05
4944,1704-01-01T00:00:00.000,Fell,Barcelona (stone),Valid,,41.36667,2.16667
4946,1842-01-01T00:00:00.000,Fell,Barea,Valid,3200,42.38333,-2.5
4947,1904-01-01T00:00:00.000,Fell,Barnaul,Valid,23.2,52.73333,84.08333
4948,1886-01-01T00:00:00.000,Fell,Barntrup,Valid,17,52.0,9.1
4949,1910-01-01T00:00:00.000,Fell,Baroti,Valid,4500,31.61667,76.8
4954,1965-01-01T00:00:00.000,Fell,Barwell,Valid,44000,52.56528,-1.33972
44876,2006-01-01T00:00:00.000,Fell,Bassikounou,Valid,29560,15.78333,-5.9
4957,1994-01-01T00:00:00.000,Fell,Baszkówka,Valid,15500,52.03333,20.93583
4974,1892-01-01T00:00:00.000,Fell,Bath,Valid,21000,45.41667,-98.31667
4975,1902-01-01T00:00:00.000,Fell,Bath Furnace,Valid,86000,38.25,-83.75
56133,2012-01-01T00:00:00.000,Fell,Battle Mountain,Valid,2900,40.66813,-117.18913
4976,1989-01-01T00:00:00.000,Fell,Bawku,Valid,1557,11.08333,-0.18333
4977,1916-01-01T00:00:00.000,Fell,Baxter,Valid,611,36.75,-93.5
4984,1929-01-01T00:00:00.000,Fell,Beardsley,Valid,16000,39.8,-101.2
4986,1893-01-01T00:00:00.000,Fell,Beaver Creek,Valid,14000,51.16667,-117.33333
4993,1949-01-01T00:00:00.000,Fell,Beddgelert,Valid,794,53.01667,-4.1
5005,1961-01-01T00:00:00.000,Fell,Bells,Valid,375,33.6,-96.46667
5009,1937-01-01T00:00:00.000,Fell,Belville,Valid,,-32.33333,-64.86667
5011,1798-01-01T00:00:00.000,Fell,Benares (a),Valid,3700,25.36667,82.91667
30443,2004-01-01T00:00:00.000,Fell,Benguerir,Valid,25000,32.25,-8.15
5018,2001-01-01T00:00:00.000,Fell,Beni M'hira,Valid,19000,32.86667,10.8
5021,1938-01-01T00:00:00.000,Fell,Benld,Valid,1770.5,39.08333,-89.15
5023,1943-01-01T00:00:00.000,Fell,Benoni,Valid,3880,-26.16667,28.41667
5024,2002-01-01T00:00:00.000,Fell,Bensour,Valid,45000,30.0,-7.0
5026,1949-01-01T00:00:00.000,Fell,Benton,Valid,2840,45.95,-67.55
48975,2008-01-01T00:00:00.000,Fell,Berduc,Valid,270,-31.91,-58.32833
5028,1924-01-01T00:00:00.000,Fell,Béréba,Valid,18000,11.65,-3.65
5029,1811-01-01T00:00:00.000,Fell,Berlanguillas,Valid,1440,41.68333,-3.8
47355,2004-01-01T00:00:00.000,Fell,Berthoud,Valid,960,40.30583,-105.02325
5032,1859-01-01T00:00:00.000,Fell,Bethlehem,Valid,13.9,42.53333,-73.83333
5034,1859-01-01T00:00:00.000,Fell,Beuste,Valid,2000,43.21667,-0.23333
5035,1921-01-01T00:00:00.000,Fell,Beyrout,Valid,1100,33.88333,35.5
5037,1877-01-01T00:00:00.000,Fell,Bhagur,Valid,18,20.88333,74.83333
36591,2002-01-01T00:00:00.000,Fell,Bhawad,Valid,678,26.50833,73.11528
5039,1893-01-01T00:00:00.000,Fell,Bherai,Valid,100,20.83333,71.46667
5040,1940-01-01T00:00:00.000,Fell,Bhola,Valid,1047,22.68333,90.65
5041,1905-01-01T00:00:00.000,Fell,Bholghati,Valid,2500,22.08333,86.9
5042,1827-01-01T00:00:00.000,Fell,Bialystok,Valid,4000,53.1,23.2
5043,1887-01-01T00:00:00.000,Fell,Bielokrynitschie,Valid,1900,50.13333,27.16667
5045,1999-01-01T00:00:00.000,Fell,Bilanga,Valid,25000,12.45,-0.08333
5051,1984-01-01T00:00:00.000,Fell,Binningup,Valid,488.1,-33.15639,115.67639
5056,1923-01-01T00:00:00.000,Fell,Birni N'konni,Valid,560,13.76667,5.3
5059,1843-01-01T00:00:00.000,Fell,Bishopville,Valid,6000,34.16667,-80.28333
5060,1895-01-01T00:00:00.000,Fell,Bishunpur,Valid,1039,25.38333,82.6
5063,1796-01-01T00:00:00.000,Fell,Bjelaja Zerkov,Valid,1850,49.78333,30.16667
5064,1899-01-01T00:00:00.000,Fell,Bjurböle,Valid,330000,60.4,25.8
5065,1941-01-01T00:00:00.000,Fell,Black Moshannan Park,Valid,705,40.91667,-78.08333
5068,1906-01-01T00:00:00.000,Fell,Blackwell,Valid,2381,36.83333,-97.33333
5071,1909-01-01T00:00:00.000,Fell,Blanket,Valid,5100,31.83333,-98.83333
5072,1833-01-01T00:00:00.000,Fell,Blansko,Valid,470,49.36667,16.63333
5076,1938-01-01T00:00:00.000,Fell,Bloomington,Valid,67.8,40.48,-89.00417
5090,1977-01-01T00:00:00.000,Fell,Bo Xian,Valid,7500,33.83333,115.83333
5093,1804-01-01T00:00:00.000,Fell,Bocas,Valid,56,23.0,-102.0
5097,1962-01-01T00:00:00.000,Fell,Bogou,Valid,8800,12.5,0.7
5098,1916-01-01T00:00:00.000,Fell,Boguslavka,Valid,256000,44.55,131.63333
5110,1808-01-01T00:00:00.000,Fell,Borgo San Donino,Valid,1676,44.86667,10.05
5111,1894-01-01T00:00:00.000,Fell,Bori,Valid,8600,21.95,78.03333
5112,1930-01-01T00:00:00.000,Fell,Boriskino,Valid,1342,54.23333,52.48333
5113,1852-01-01T00:00:00.000,Fell,Borkut,Valid,7000,48.15,24.28333
5114,1812-01-01T00:00:00.000,Fell,Borodino,Valid,500,55.46667,35.86667
5117,1823-01-01T00:00:00.000,Fell,Botschetschki,Valid,614,51.33333,33.88333
57168,2003-01-01T00:00:00.000,Fell,Boumdeid (2003),Valid,190,17.71067,-11.3715
57167,2011-01-01T00:00:00.000,Fell,Boumdeid (2011),Valid,3599,17.17493,-11.34133
5121,1969-01-01T00:00:00.000,Fell,Bovedy,Valid,5460,54.56667,-6.33333
5128,1886-01-01T00:00:00.000,Fell,Bradford Woods,Valid,762,40.5,-80.08333
5133,1847-01-01T00:00:00.000,Fell,Braunau,Valid,39000,50.6,16.3
5134,1956-01-01T00:00:00.000,Fell,Breitscheid,Valid,1500,50.66694,8.18361
5135,1855-01-01T00:00:00.000,Fell,Bremervörde,Valid,7250,53.4,9.1
5140,1933-01-01T00:00:00.000,Fell,Brient,Valid,219,52.13333,59.31667
5156,1960-01-01T00:00:00.000,Fell,Bruderheim,Valid,303000,53.9,-112.88333
30448,2001-01-01T00:00:00.000,Fell,Bukhara,Valid,5300,39.77978,64.60035
5163,1964-01-01T00:00:00.000,Fell,Bulls Run,Valid,2250,,
48653,2007-01-01T00:00:00.000,Fell,Bunburra Rockhole,Valid,324,-31.35,129.19
5165,1942-01-01T00:00:00.000,Fell,Bununu,Valid,357,10.01667,9.58333
5169,1919-01-01T00:00:00.000,Fell,Bur-Gheluai,Valid,120000,5.0,48.0
